ID,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,publico_jogo,juiz_partida,expulsao_mandate,expulsao_visitante,dia_semana_jogo
2959,26,2009-09-27,16:00,Internacional,Flamengo,,,,,-, Beira Rio,0,0,RS,RJ,12.481,Sandro Meira Ricci,0,0,Domingo
2960,26,2009-09-27,16:00,Sao Paulo,Corinthians,,,,,-, Morumbi,1,1,SP,SP,32.180,Ricardo Marques Ribeiro,1,0,Domingo
2961,26,2009-09-27,16:00,Coritiba,Nautico,,,,,Coritiba, Couto Pereira,2,0,PR,PE,12.685,Leonardo Gaciba,0,0,Domingo
2962,26,2009-09-27,16:00,Goias,Gremio,,,,,Goias, Serra Dourada,2,1,GO,RS,12.644,Heber Roberto Lopes,0,0,Domingo
2963,26,2009-09-27,16:00,Fluminense,Avai,,,,,Fluminense, Maracanã,3,2,RJ,SC,19.098,André Luiz de Freitas Castro,0,0,Domingo
2964,26,2009-09-27,18:30,Atletico-MG,Santos,,,,,Atletico-MG, Mineirão,3,1,MG,SP,36.294,Wilton Pereira Sampaio,0,0,Domingo
2965,26,2009-09-27,18:30,Botafogo-RJ,Vitoria,,,,,Vitoria,Engenhão,1,3,RJ,BA,11.852,Wallace Nascimento Valente,1,0,Domingo
2966,26,2009-09-27,18:30,Sport,Santo Andre,,,,,Sport,Ilha do Retiro,2,1,PE,SP,10.513,Wagner Tardelli,0,0,Domingo
2967,27,2009-09-30,21:50,Nautico,Sao Paulo,,,,,Sao Paulo,Aflitos,1,2,PE,SP,6.027,Francisco Carlos Nascimento,2,2,Quarta-feira
2968,27,2009-10-03,18:30,Santo Andre,Vitoria,,,,,Santo Andre,Bruno José Daniel,1,0,SP,BA,1.701,Paulo Henrique Bezerra,1,1,Sábado
2969,27,2009-10-03,18:30,Corinthians,Athletico-PR,,,,,Athletico-PR, Pacaembu,1,3,SP,PR,29.716,André Luiz de Freitas,0,0,Sábado
2970,27,2009-10-03,18:30,Atletico-MG,Barueri,,,,,Atletico-MG, Mineirão,2,1,MG,SP,44.707,Cláudio Mercante,0,1,Sábado
2971,27,2009-10-04,16:00,Santos,Palmeiras,,,,,Palmeiras, Vila Belmiro,1,3,SP,SP,10.402,Sálvio Spínola,0,0,Domingo
2972,27,2009-10-04,16:00,Gremio,Sport,,,,,-, Olímpico,3,3,RS,PE,19.174,Wilson Luiz Seneme,0,0,Domingo
2973,27,2009-10-04,16:00,Goias,Botafogo-RJ,,,,,Botafogo-RJ, Serra Dourada,1,3,GO,RJ,22.989,Sandro Meira Ricci,1,0,Domingo
2974,27,2009-10-04,18:30,Flamengo,Fluminense,,,,,Flamengo, Maracanã,2,0,RJ,RJ,78.409,Marcelo de Lima Henrique,0,0,Domingo
2975,27,2009-10-04,18:30,Avai,Cruzeiro,,,,,-,  Ressacada,2,2,SC,MG,10.823,Carlos Eugenio Simon,0,0,Domingo
2976,27,2009-10-04,18:30,Coritiba,Internacional,,,,,Coritiba, Couto Pereira,2,0,PR,RS,21.159,Nielson Nogueira Dias,0,0,Domingo
2977,28,2009-10-07,19:30,Sport,Santos,,,,,Santos,Ilha do Retiro,0,1,PE,SP,26.249,Wagner Tardelli,0,0,Quarta-feira
2978,28,2009-10-07,19:30,Barueri,Santo Andre,,,,,-,Arena Barueri,0,0,SP,SP,1.660,Cléber Wellington Abade,0,0,Quarta-feira
2979,28,2009-10-07,21:00,Athletico-PR,Gremio,,,,,-, Arena da Baixada,0,0,PR,RS,19.375,Sálvio Spínola,0,0,Quarta-feira
2980,28,2009-10-07,21:00,Sao Paulo,Coritiba,,,,,-, Morumbi,2,2,SP,PR,16.602,Carlos Eugenio Simon,0,0,Quarta-feira
2981,28,2009-10-07,21:50,Vitoria,Flamengo,,,,,-, Barradão,3,3,BA,RJ,21.324,Nielson Nogueira Dias,0,0,Quarta-feira
2982,28,2009-10-07,21:50,Fluminense,Corinthians,,,,,-, Maracanã,1,1,RJ,SP,8.775,Wilton Pereira Sampaio,0,0,Quarta-feira
2983,28,2009-10-07,21:50,Internacional,Nautico,,,,,Internacional, Beira Rio,3,1,RS,PE,11.688,Wallace Nascimento Valente,0,0,Quarta-feira
2984,28,2009-10-08,21:00,Cruzeiro,Goias,,,,,Cruzeiro, Mineirão,3,0,MG,GO,7.693,Leandro Vuaden,0,1,Quinta-feira
2985,28,2009-10-08,21:00,Palmeiras,Avai,,,,,-,Palestra Itália,2,2,SP,SC,16.597,Marcelo de Lima Henrique,1,0,Quinta-feira
2986,28,2009-10-08,21:00,Botafogo-RJ,Atletico-MG,,,,,Botafogo-RJ,Engenhão,3,1,RJ,MG,6.034,Francisco Carlos Nascimento,0,1,Quinta-feira
2987,29,2009-10-10,16:10,Corinthians,Gremio,,,,,Corinthians, Pacaembu,2,1,SP,RS,19.144,Nielson Nogueira Dias,0,0,Sábado
2988,29,2009-10-10,16:10,Flamengo,Sao Paulo,,,,,Flamengo, Maracanã,2,1,RJ,SP,57.210,Wilson Pereira Sampaio,0,0,Sábado
2989,29,2009-10-10,18:10,Santo Andre,Fluminense,,,,,Fluminense,Bruno José Daniel,1,2,SP,RJ,2.029,Carlos Eugenio Simon,0,0,Sábado
2990,29,2009-10-10,18:30,Internacional,Athletico-PR,,,,,-, Beira Rio,1,1,RS,PR,21.605,Luís Antonio Silva Santos,1,0,Sábado
2991,29,2009-10-10,18:30,Coritiba,Barueri,,,,,Barueri, Couto Pereira,1,2,PR,SP,15.874,Péricles Bassols Cortez,0,0,Sábado
2992,29,2009-10-12,16:00,Santos,Vitoria,,,,,-, Pacaembu,0,0,SP,BA,23.673,Wagner Reway,0,0,Segunda-feira
2993,29,2009-10-12,16:00,Atletico-MG,Cruzeiro,,,,,Cruzeiro, Mineirão,0,1,MG,MG,45.959,Sálvio Spínola,0,0,Segunda-feira
2994,29,2009-10-12,16:00,Goias,Sport,,,,,-, Serra Dourada,1,1,GO,PE,9.621,Jaílson Macedo Freitas,0,0,Segunda-feira
2995,29,2009-10-12,16:00,Nautico,Palmeiras,,,,,Nautico,Aflitos,3,0,PE,SP,17.027,Wagner Tardelli,0,0,Segunda-feira
2996,29,2009-10-12,16:00,Botafogo-RJ,Avai,,,,,-,Engenhão,2,2,RJ,SC,33.641,André Luiz de Castro,1,1,Segunda-feira
2997,30,2009-10-17,18:30,Barueri,Santos,,,,,-,Arena Barueri,0,0,SP,SP,3.688,Marcelo Aparecido de Souza,0,1,Sábado
2998,30,2009-10-17,18:30,Sao Paulo,Atletico-MG,,,,,Atletico-MG, Morumbi,0,1,SP,MG,25.947,Heber Roberto Lopes,0,0,Sábado
2999,30,2009-10-17,18:30,Avai,Goias,,,,,Avai,  Ressacada,2,1,SC,GO,7.860,Wilson Souza de Mendonça,0,0,Sábado
3000,30,2009-10-18,16:00,Sport,Corinthians,,,,,Sport,Ilha do Retiro,2,0,PE,SP,21.143,Francisco Carlos Nascimento,0,0,Domingo
3001,30,2009-10-18,16:00,Gremio,Coritiba,,,,,Gremio, Olímpico,2,0,RS,PR,15.631,Célio Amorim,0,1,Domingo
3002,30,2009-10-18,16:00,Fluminense,Internacional,,,,,-, Maracanã,2,2,RJ,RS,28.138,Wallace Nascimento Valente,0,0,Domingo
3003,30,2009-10-18,16:10,Palmeiras,Flamengo,,,,,Flamengo,Palestra Itália,0,2,SP,RJ,26.462,Sandro Meira Ricci,0,0,Domingo
3004,30,2009-10-18,18:30,Athletico-PR,Santo Andre,,,,,Athletico-PR, Arena da Baixada,3,0,PR,SP,16.840,Ricardo Marques Ribeiro,0,0,Domingo
3005,30,2009-10-18,18:30,Cruzeiro,Botafogo-RJ,,,,,Cruzeiro, Mineirão,1,0,MG,RJ,28.604,Leonardo Gaciba,0,0,Domingo
3006,30,2009-10-18,18:30,Vitoria,Nautico,,,,,Vitoria, Barradão,3,1,BA,PE,11.891,André Luiz de Castro,0,1,Domingo
3007,31,2009-10-21,21:50,Santo Andre,Palmeiras,,,,,Santo Andre,Bruno José Daniel,2,0,SP,SP,10.612,Sálvio Spínola,0,0,Quarta-feira
3008,31,2009-10-24,18:30,Atletico-MG,Vitoria,,,,,Atletico-MG, Mineirão,1,0,MG,BA,57.901,Elmo Resende Cunha,0,1,Sábado
3009,31,2009-10-24,18:30,Nautico,Barueri,,,,,Nautico,Aflitos,2,1,PE,SP,13.249,Leandro Vuaden,0,0,Sábado
3010,31,2009-10-25,16:00,Santos,Sao Paulo,,,,,Sao Paulo, Vila Belmiro,3,4,SP,SP,8.735,Carlos Eugenio Simon,0,1,Domingo
3011,31,2009-10-25,16:00,Internacional,Gremio,,,,,Internacional, Beira Rio,1,0,RS,RS,36.834,Wilson Luiz Seneme,0,1,Domingo
3012,31,2009-10-25,16:00,Coritiba,Athletico-PR,,,,,Coritiba, Couto Pereira,3,2,PR,PR,32.838,Paulo César Oliveira,0,1,Domingo
3013,31,2009-10-25,16:00,Goias,Fluminense,,,,,-, Serra Dourada,2,2,GO,RJ,10.078,Leonardo Gaciba,0,0,Domingo
3014,31,2009-10-25,18:30,Corinthians,Cruzeiro,,,,,Cruzeiro, Pacaembu,0,1,SP,MG,21.738,Péricles Bassols Cortez,0,1,Domingo
3015,31,2009-10-25,18:30,Avai,Sport,,,,,-,  Ressacada,2,2,SC,PE,8.571,Sálvio Spínola,0,0,Domingo
3016,31,2009-10-25,18:30,Botafogo-RJ,Flamengo,,,,,Flamengo,Engenhão,0,1,RJ,RJ,25.192,Luís Antonio Silva Santos,0,0,Domingo
3017,32,2009-10-28,19:30,Athletico-PR,Santos,,,,,-, Arena da Baixada,1,1,PR,SP,17.930,Francisco de Assis Almeida Filho,0,1,Quarta-feira
3018,32,2009-10-28,19:30,Botafogo-RJ,Nautico,,,,,Botafogo-RJ,Engenhão,1,0,RJ,PE,6.127,Leonardo Gaciba,0,0,Quarta-feira
3019,32,2009-10-28,21:00,Cruzeiro,Santo Andre,,,,,Cruzeiro, Mineirão,3,2,MG,SP,19.567,Célio Amorim,0,0,Quarta-feira
3020,32,2009-10-28,21:00,Gremio,Avai,,,,,Gremio, Olímpico,3,1,RS,SC,9.391,Péricles Bassols Cortez,1,0,Quarta-feira
3021,32,2009-10-28,21:50,Vitoria,Corinthians,,,,,Corinthians, Barradão,0,1,BA,SP,21.681,Márcio Chagas da Silva,0,0,Quarta-feira
3022,32,2009-10-28,21:50,Barueri,Flamengo,,,,,Barueri,Arena Barueri,2,0,SP,RJ,10.354,Heber Roberto Lopes,0,0,Quarta-feira
3023,32,2009-10-28,21:50,Sao Paulo,Internacional,,,,,Sao Paulo, Morumbi,1,0,SP,RS,34.203,Sandro Meira Ricci,0,0,Quarta-feira
3024,32,2009-10-29,21:00,Sport,Coritiba,,,,,-,Ilha do Retiro,1,1,PE,PR,21.022,Wallace Nascimento Valente,0,0,Quinta-feira
3025,32,2009-10-29,21:00,Fluminense,Atletico-MG,,,,,Fluminense, Maracanã,2,1,RJ,MG,12.037,André Luiz de Castro,0,1,Quinta-feira
3026,32,2009-10-29,21:00,Palmeiras,Goias,,,,,Palmeiras,Palestra Itália,4,0,SP,GO,18.070,Marcelo de Lima Henrique,0,1,Quinta-feira
3027,33,2009-10-31,18:30,Flamengo,Santos,,,,,Flamengo, Maracanã,1,0,RJ,SP,77.063,Nielson Nogueira Dias,0,0,Sábado
3028,33,2009-10-31,18:30,Avai,Athletico-PR,,,,,Avai,  Ressacada,2,0,SC,PR,7.299,Renato Cardoso da Conceição,0,0,Sábado
3029,33,2009-10-31,18:30,Sao Paulo,Barueri,,,,,Sao Paulo, Morumbi,1,0,SP,SP,39.636,Wilson Luiz Seneme,0,0,Sábado
3030,33,2009-11-01,16:00,Palmeiras,Corinthians,,,,,-,Eduardo José Farah,2,2,SP,SP,18.752,Heber Roberto Lopes,1,0,Domingo
3031,33,2009-11-01,16:00,Internacional,Botafogo-RJ,,,,,Botafogo-RJ, Beira Rio,0,1,RS,RJ,16.932,Elmo Resende Cunha,0,1,Domingo
3032,33,2009-11-01,16:00,Coritiba,Vitoria,,,,,Coritiba, Couto Pereira,1,0,PR,BA,11.808,Paulo Henrique Bezerra,0,0,Domingo
3033,33,2009-11-01,16:00,Goias,Atletico-MG,,,,,Atletico-MG, Serra Dourada,2,3,GO,MG,8.748,Rodrigo Nunes de Sá,1,0,Domingo
3034,33,2009-11-01,18:30,Cruzeiro,Fluminense,,,,,Fluminense, Mineirão,2,3,MG,RJ,49.140,Sandro Meira Ricci,0,0,Domingo
3035,33,2009-11-01,18:30,Santo Andre,Gremio,,,,,Santo Andre,Bruno José Daniel,2,0,SP,RS,2.240,Wagner Tardelli,0,1,Domingo
3036,33,2009-11-01,18:30,Nautico,Sport,,,,,Nautico,Aflitos,3,2,PE,PE,19.086,Sálvio Spínola,0,0,Domingo
3037,34,2009-11-04,21:50,Gremio,Sao Paulo,,,,,-, Olímpico,1,1,RS,SP,13.982,Jailson Macedo Freitas,0,3,Quarta-feira
3038,34,2009-11-07,18:30,Vitoria,Avai,,,,,Avai, Barradão,0,1,BA,SC,9.782,Felipe Gomes da Silva,0,0,Sábado
3039,34,2009-11-07,18:30,Sport,Cruzeiro,,,,,Cruzeiro,Ilha do Retiro,2,3,PE,MG,11.458,Paulo Henrique Bezerra,2,0,Sábado
3040,34,2009-11-07,18:30,Santos,Nautico,,,,,Santos, Pacaembu,3,1,SP,PE,16.634,Wagner Tardelli,0,0,Sábado
3041,34,2009-11-08,16:00,Fluminense,Palmeiras,,,,,Fluminense, Maracanã,1,0,RJ,SP,64.194,Carlos Eugenio Simon,0,0,Domingo
3042,34,2009-11-08,16:00,Atletico-MG,Flamengo,,,,,Flamengo, Mineirão,1,3,MG,RJ,63.285,Leonardo Gaciba,0,0,Domingo
3043,34,2009-11-08,16:00,Corinthians,Santo Andre,,,,,Corinthians, Pacaembu,2,0,SP,SP,17.300,Paulo César Oliveira,0,0,Domingo
3044,34,2009-11-08,18:30,Barueri,Internacional,,,,,-,Arena Barueri,1,1,SP,RS,2.789,Marcelo de Lima Henrique,0,0,Domingo
3045,34,2009-11-08,18:30,Botafogo-RJ,Coritiba,,,,,Botafogo-RJ,Engenhão,2,0,RJ,PR,12.426,Wilton Pereira Sampaio,0,0,Domingo
3046,34,2009-11-08,18:30,Athletico-PR,Goias,,,,,Athletico-PR, Arena da Baixada,2,0,PR,GO,15.591,Sálvio Spínola,0,1,Domingo
3047,35,2009-11-11,21:50,Palmeiras,Sport,,,,,-,Palestra Itália,2,2,SP,PE,17.133,Elmo Alves Resende,0,1,Quarta-feira
3048,35,2009-11-14,19:30,Cruzeiro,Gremio,,,,,-, Mineirão,1,1,MG,RS,51.534,Marcelo de Lima Henrique,0,2,Sábado
3049,35,2009-11-14,19:30,Sao Paulo,Vitoria,,,,,Sao Paulo, Morumbi,2,0,SP,BA,53.204,Leandro Vuaden,0,0,Sábado
3050,35,2009-11-14,19:30,Coritiba,Atletico-MG,,,,,Coritiba, Couto Pereira,2,1,PR,MG,17.825,Paulo César Oliveira,0,1,Sábado
3051,35,2009-11-15,17:00,Nautico,Flamengo,,,,,Flamengo,Aflitos,0,2,PE,RJ,19.798,Sandro Meira Ricci,0,0,Domingo
3052,35,2009-11-15,17:00,Avai,Corinthians,,,,,Avai,  Ressacada,3,1,SC,SP,15.348,Francisco de Assis Almeida,0,1,Domingo
3053,35,2009-11-15,17:00,Barueri,Botafogo-RJ,,,,,Barueri,Arena Barueri,3,0,SP,RJ,3.432,Jailson Macedo Freitas,0,0,Domingo
3054,35,2009-11-15,19:30,Fluminense,Athletico-PR,,,,,Fluminense, Maracanã,2,1,RJ,PR,52.511,Sálvio Spínola,0,0,Domingo
3055,35,2009-11-15,19:30,Goias,Santo Andre,,,,,Goias, Serra Dourada,3,1,GO,SP,1.819,Péricles Bassols Cortez,0,1,Domingo
3056,35,2009-11-15,19:30,Internacional,Santos,,,,,Internacional, Beira Rio,3,1,RS,SP,15.158,Arilson Bispo da Anunciação,0,0,Domingo
3057,36,2009-11-18,21:50,Gremio,Palmeiras,,,,,Gremio, Olímpico,2,0,RS,SP,12.233,Heber Roberto Lopes,0,2,Quarta-feira
3058,36,2009-11-21,19:30,Corinthians,Nautico,,,,,Nautico, Pacaembu,2,3,SP,PE,14.124,Alicio Pena Júnior,0,1,Sábado
3059,36,2009-11-21,19:30,Athletico-PR,Cruzeiro,,,,,-, Arena da Baixada,1,1,PR,MG,17.686,Paulo César Oliveira,0,1,Sábado
3060,36,2009-11-22,17:00,Botafogo-RJ,Sao Paulo,,,,,Botafogo-RJ,Engenhão,3,2,RJ,SP,26.513,Sandro Meira Ricci,3,1,Domingo
3061,36,2009-11-22,17:00,Sport,Fluminense,,,,,Fluminense,Ilha do Retiro,0,3,PE,RJ,9.362,Wilson Luiz Seneme,2,0,Domingo
3062,36,2009-11-22,17:00,Santo Andre,Avai,,,,,Santo Andre,Bruno José Daniel,4,2,SP,SC,3.167,Djalma José Beltrami,0,0,Domingo
3063,36,2009-11-22,17:00,Santos,Coritiba,,,,,Santos, Vila Belmiro,4,0,SP,PR,3.942,Ricardo Marques Ribeiro,0,0,Domingo
3064,36,2009-11-22,19:30,Vitoria,Barueri,,,,,Vitoria, Barradão,2,1,BA,SP,17.012,Gutemberg de Paula Fonseca,0,1,Domingo
3065,36,2009-11-22,19:30,Atletico-MG,Internacional,,,,,Internacional, Mineirão,0,1,MG,RS,41.842,Cléber Wellington Abade,0,0,Domingo
3066,36,2009-11-22,19:30,Flamengo,Goias,,,,,-, Maracanã,0,0,RJ,GO,78.639,Leandro Vuaden,0,0,Domingo
3067,37,2009-11-29,17:00,Goias,Sao Paulo,,,,,Goias, Serra Dourada,4,2,GO,SP,28.574,Heber Roberto Lopes,0,0,Domingo
3068,37,2009-11-29,17:00,Corinthians,Flamengo,,,,,Flamengo, Brinco de Ouro,0,2,SP,RJ,25.775,Evandro Roman,1,0,Domingo
3069,37,2009-11-29,17:00,Palmeiras,Atletico-MG,,,,,Palmeiras,Palestra Itália,3,1,SP,MG,25.402,Sandro Meira Ricci,0,1,Domingo
3070,37,2009-11-29,17:00,Sport,Internacional,,,,,Internacional,Ilha do Retiro,1,2,PE,RS,4.099,Paulo César Oliveira,0,0,Domingo
3071,37,2009-11-29,17:00,Gremio,Barueri,,,,,Gremio, Olímpico,4,2,RS,SP,12.896,Péricles Bassols Cortez,0,0,Domingo
3072,37,2009-11-29,17:00,Avai,Santos,,,,,-,  Ressacada,2,2,SC,SP,8.761,Leonardo Gaciba,0,1,Domingo
3073,37,2009-11-29,17:00,Cruzeiro,Coritiba,,,,,Cruzeiro, Mineirão,4,1,MG,PR,27.291,Sálvio Spínola Fagundes Filho,0,0,Domingo
3074,37,2009-11-29,17:00,Santo Andre,Nautico,,,,,Santo Andre,Bruno José Daniel,5,3,SP,PE,1.178,Leandro Vuaden,0,0,Domingo
3075,37,2009-11-29,17:00,Athletico-PR,Botafogo-RJ,,,,,Athletico-PR, Arena da Baixada,2,0,PR,RJ,21.592,Wilson Luiz Seneme,0,0,Domingo
3076,37,2009-11-29,17:00,Fluminense,Vitoria,,,,,Fluminense, Maracanã,4,0,RJ,BA,52.408,Ricardo Marques Ribeiro,1,2,Domingo
3077,38,2009-12-05,19:30,Atletico-MG,Corinthians,,,,,Corinthians, Mineirão,0,3,MG,SP,5.769,Wagner Tardelli,0,0,Sábado
3078,38,2009-12-05,19:30,Nautico,Avai,,,,,Avai,Aflitos,0,1,PE,SC,2.830,João Alberto Gomes Duarte,0,0,Sábado
3079,38,2009-12-06,17:00,Flamengo,Gremio,,,,,Flamengo, Maracanã,2,1,RJ,RS,78.639,Heber Roberto Lopes,0,0,Domingo
3080,38,2009-12-06,17:00,Botafogo-RJ,Palmeiras,,,,,Botafogo-RJ,Engenhão,2,1,RJ,SP,38.717,Leonardo Gaciba,0,0,Domingo
3081,38,2009-12-06,17:00,Sao Paulo,Sport,,,,,Sao Paulo, Morumbi,4,0,SP,PE,30.397,Sandro Meira Ricci,1,2,Domingo
3082,38,2009-12-06,17:00,Internacional,Santo Andre,,,,,Internacional, Beira Rio,4,1,RS,SP,....,Jailson Macedo Freitas,0,0,Domingo
3083,38,2009-12-06,17:00,Santos,Cruzeiro,,,,,Cruzeiro, Vila Belmiro,1,2,SP,MG,6.942,Marcelo de Lima Henrique,0,1,Domingo
3084,38,2009-12-06,17:00,Barueri,Athletico-PR,,,,,-,  Prudentão,0,0,SP,PR,1.741,Ricardo Marques Ribeiro,0,0,Domingo
3085,38,2009-12-06,17:00,Vitoria,Goias,,,,,-, Barradão,2,2,BA,GO,7.974,Sálvio Spínola Fagundes Filho,0,0,Domingo
3086,38,2009-12-06,17:00,Coritiba,Fluminense,,,,,-, Couto Pereira,1,1,PR,RJ,....,Leandro Vuaden,0,0,Domingo
